,Unnamed: 0,company,date,post_title,rating,position,location,tab,subjectivity,sentiment,lang,final_text,confidence,Unnamed: 0.1,text
4658,4658,My First Skool,26/9/2020,-,5.0,-,Singapore,benefits,subjective,positive,,good company benefit $ 5 visit doctor .,0.856349,3280.0,good company benefit $ 5 visit doctor .
12672,12672,My First Skool,20/9/2022,"Positive vibes, fast pace and family oriented",5.0,Preschool Principal,,reviews,subjective,positive,,pro : staff wellbeing & wellness take care . organisation always believe employee good . clarity career pathway . good colleague respectful .. con : always busy year round - back back event programme .,0.5332313,11294.0,pro : staff wellbeing & wellness take care . organisation always believe employee good . clarity career pathway . good colleague respectful .. con : always busy year round - back back event programme .
12678,12678,My First Skool,16/8/2022,Good,5.0,Teacher Assistant,,reviews,subjective,positive,,pro : good good good good good . con : none none none none none,0.83596283,11300.0,pro : good good good good good . con : none none none none none
12683,12683,My First Skool,23/8/2022,"Be careful with the company, management and backstabbing colleagues.",1.0,Educator,Singapore,reviews,subjective,negative,,"pro : medical benefit thing ’ good . con : toxic management , parent pleaser . lick boot kind mindset colleague competitive unnecessarily should work together management expect break sweat bone job hr zero understanding towards employee .",0.8918999,11305.0,"pro : medical benefit thing ’ good . con : toxic management , parent pleaser . lick boot kind mindset colleague competitive unnecessarily should work together management expect break sweat bone job hr zero understanding towards employee ."
12694,12694,My First Skool,23/6/2022,Bad for Mental Health,1.0,English Teacher,"Hougang New Town, ",reviews,subjective,negative,,"pro : benefit literally nothing else . con : - work-life balance non-existent - principal dcl basically like vulture wait something happen swoop reprimand - seek centre would bring creative side , n't come . everything specific way , font use print display word class . - high ups n't care mental health , 's `` gift ! `` stuff face present benefit 's not worth .",0.9373802,11316.0,"pro : benefit literally nothing else . con : - work-life balance non-existent - principal dcl basically like vulture wait something happen swoop reprimand - seek centre would bring creative side , n't come . everything specific way , font use print display word class . - high ups n't care mental health , 's `` gift ! `` stuff face present benefit 's not worth ."
12721,12721,My First Skool,14/12/2021,Good experience,5.0,Relief Teacher,,reviews,subjective,positive,,pro : hr nice process hiring fast .. con : nothing pretty hassle free,0.76314354,11343.0,pro : hr nice process hiring fast .. con : nothing pretty hassle free
12735,12735,My First Skool,8/7/2021,Love the company@,5.0,Anonymous Employee,"Bukit Batok New Town, ",reviews,subjective,positive,,"pro : great ! good career progression fulfilling ! . con : handling workload , deal administrative matter",0.6723776,11357.0,"pro : great ! good career progression fulfilling ! . con : handling workload , deal administrative matter"
